email_name,subject_line,date,total_sent,non-test,unique_opens,unique_clicks,open_rate,CTR,opt_outs,opt_out_rateRecipients Welcome Email 2,Follow recipients on GDLive,2018-07-01 12:00:00,1,1,1,0,,,,0,
Reminder: SF supporter event July 12 2018,See you in SF (July 12),2018-07-05 12:07:00,2676,1,714,53,,,,46,
NYC supporter event July 24 2018 Copy,See you in New York (July 24),2018-07-03 12:20:31,1097,1,308,42,,,,13,
Histogram_Email - actual email,UBI enrollment complete,2018-07-17 12:47:42,5098,1,2078,173,,,,10,
Histogram_Email - actual email,cool graphs inside,2018-07-17 12:47:42,5097,1,1677,120,,,,2,
Histogram_Email - actual email,UBI enrollment complete,2018-07-22 13:06:02,10234,1,4234,280,,,,13,
Reminder: NY supporter event July 24 2018,See you tomorrow (July 24),2018-07-23 14:11:32,1078,1,325,39,,,,9,
